track_id,name,artist,genre,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,album_cover_url
6zYqyOJuyXDOvWJwKkZ8tg,You and I,Ingrid Michaelson,indie,2008,0.698,0.28600000000000003,0,-7.6320000000000014,1,0.0553,0.927,0.0,0.0883,0.529,135.032,4,148400,https://i.scdn.co/image/ab67616d0000b273846645e9d44c0bf06a359c5a
56Z7hbyMrndw1naxb6I5Oi,Reckoner,Radiohead,indie,2007-12-28,0.518,0.6559999999999999,4,-7.438,0,0.0264,0.511,0.156,0.0679,0.203,104.28200000000001,4,290213,https://i.scdn.co/image/ab67616d0000b27334733f87148c2fbe0176abdb
5vyt44455ipNNVSYq8fYY7,Fever Pitch,Rainbow Kitten Surprise,indie,2018-04-06,0.789,0.593,5,-7.8770000000000024,0,0.0582,0.38299999999999995,1.29e-06,0.191,0.293,109.95200000000001,4,163747,https://i.scdn.co/image/ab67616d0000b2739529217e48fc8bab89c8a1f9
1SvBMXnCRBMqO2UIPk8lR3,Explore,Sundara Karma,indie,2017-07-07,0.509,0.84,11,-5.178,1,0.0546,0.17600000000000002,0.006540000000000001,0.0855,0.47200000000000003,133.532,4,245120,https://i.scdn.co/image/ab67616d0000b27395aaece26e012be41cfd5999
4T4AEZ3WxwkfrEYXYfGV44,'Cross the Breeze (Album Version),Sonic Youth,indie,1988-10-04,0.157,0.853,0,-9.265,1,0.0759,0.00135,0.5660000000000001,0.20199999999999999,0.0993,177.597,4,420507,https://i.scdn.co/image/ab67616d0000b27320f51363b9e2cbd207f158ba
3498wF96LsgVgMkGmJzJOC,When I'm Small,Phantogram,indie,2009,0.6459999999999999,0.758,10,-4.34,1,0.0314,0.191,0.09699999999999999,0.10300000000000001,0.424,91.99799999999999,4,249067,https://i.scdn.co/image/ab67616d0000b273a8dfddf62f476e1932c148d0
3OsUjkcv1C1v5udFhgRSFg,Airbag,Radiohead,indie,1997-05-28,0.306,0.872,2,-7.313,1,0.05,0.00792,0.8,0.261,0.648,167.946,4,287880,https://i.scdn.co/image/ab67616d0000b273adb1732fa8d44b8eb2f6c0bf
2PtBhfoPZ6VYtXkrE5FrCH,Reflections,MisterWives,indie,2015-02-24,0.6829999999999999,0.675,2,-5.461,1,0.0292,0.0223,0.0187,0.10099999999999999,0.6,111.008,4,186440,https://i.scdn.co/image/ab67616d0000b2735c0c84938ec666d33ce0553d
1kY6OOTBmRNzhYmu9xSH3a,Voodoo Child (Slight Return),Stevie Ray Vaughan,blues,1984,0.436,0.62,10,-11.729000000000001,0,0.037000000000000005,0.000364,0.539,0.11,0.413,94.209,4,478747,https://i.scdn.co/image/ab67616d0000b273eb72e98b6e645a68cdfe72a4
4I4vAytEiKVIHsJS0LfCWW,Tuff Enuff,The Fabulous Thunderbirds,blues,2001-07-16,0.568,0.8140000000000001,4,-6.646,1,0.0425,0.0357,0.000875,0.461,0.677,116.22399999999999,4,200773,https://i.scdn.co/image/ab67616d0000b27346178c115408b065425c89a8
0W4EvXCjLH6OQjtDVzdPWg,Honey Bee,Stevie Ray Vaughan,blues,1984,0.48700000000000004,0.601,1,-11.492,1,0.0331,0.000106,0.0493,0.25,0.731,123.602,4,163120,https://i.scdn.co/image/ab67616d0000b273eb72e98b6e645a68cdfe72a4
4a7Xu1edRTAGhjScmeGsUF,Badge,Cream,blues,2005-01-01,0.594,0.6779999999999999,7,-11.415,1,0.0397,0.449,0.000149,0.0833,0.73,105.98700000000001,4,165347,https://i.scdn.co/image/ab67616d0000b2738bdcc07a88f79f7d33636ac3
5cppOwE3AxiUMJmoMAz8Fm,Whiskey and Wimmen,John Lee Hooker,blues,2013-05-16,0.619,0.379,10,-15.315,1,0.0416,0.8859999999999999,0.00359,0.0919,0.708,81.137,4,163527,https://i.scdn.co/image/ab67616d0000b273b74735df00bbbd85bb30ef4d
0z230B1PENmFUvGcUucWCx,Sweet Country Love Song,Jools Holland & Gregory Porter,blues,2012-11-29,0.3670000000000001,0.44,5,-6.92,1,0.0265,0.41100000000000003,0.0,0.11699999999999999,0.428,80.793,4,192600,https://i.scdn.co/image/ab67616d0000b2735e6ef9e5646ddd00a95ceb4f
0TEQtww0aAXaFdsICYD5GO,Hound Dog,Big Mama Thornton,blues,2006,0.6709999999999999,0.457,10,-8.922,0,0.0688,0.934,0.0404,0.299,0.775,148.924,4,170573,https://i.scdn.co/image/ab67616d0000b2739689ada7a868288ea746912e
0IMD7hZXFjuvSVFae35B6X,Say What!,Stevie Ray Vaughan,blues,2002-08-27,0.322,0.7609999999999999,6,-8.292,0,0.0421,0.0006259999999999999,0.0045,0.233,0.8420000000000001,131.015,4,323427,https://i.scdn.co/image/ab67616d0000b273f443c20c8fd9933818965efc
3HyiHXZdB5CQTTtxIXYwJs,Numb,Gary Clark Jr.,blues,2012-10-22,0.247,0.8740000000000001,2,-3.398,0,0.0545,6.2e-06,0.0709,0.41100000000000003,0.305,138.686,4,326387,https://i.scdn.co/image/ab67616d0000b273b1166865f86c48ab7c7a74e7
3VtiGixzEYjSlStAV91MBu,My Baby Walked Off,Howlin' Wolf,blues,2000-03-14,0.521,0.523,4,-9.434,1,0.0528,0.898,1.76e-06,0.11,0.621,166.554,4,179693,https://i.scdn.co/image/ab67616d0000b273cf68aba9a3c97f0ec8cdfb22
3VeC7Pcwg9qFSnxNX3aQ37,A Quitter Never Wins,Jonny Lang,blues,1997,0.547,0.674,9,-8.41,1,0.0404,0.138,0.00896,0.33899999999999997,0.645,159.995,3,356427,https://i.scdn.co/image/ab67616d0000b273cdf320152ca97948b2f55dd8
0W7dZ3kbTOfQP5ZWZZqj9N,"One Bourbon, One Scotch, One Beer",John Lee Hooker,blues,1999-01-01,0.733,0.743,7,-10.808,1,0.0472,0.5870000000000001,0.0,0.348,0.828,124.579,4,183160,https://i.scdn.co/image/ab67616d0000b27342906da4cf6c668315e55317
0CmIALzGn4vHIHJG4n3Q4z,At Last - Single Version,Etta James,blues,1960,0.168,0.326,5,-9.981,1,0.0324,0.721,0.0006,0.316,0.322,174.794,3,182400,https://i.scdn.co/image/ab67616d0000b273d97bf715a906411fe4709fff
1Pomj0gyzPNGIz7VWZxXF1,Gallis Pole,Lead Belly,blues,2008-01-01,0.529,0.23399999999999999,5,-11.415,1,0.0436,0.981,3.82e-06,0.12300000000000001,0.8909999999999999,134.52700000000002,4,181905,https://i.scdn.co/image/ab67616d0000b273bfb58202ab004f8301d2af27
4cIOAjgmMCKWd1TYFvNRIh,Cold Day In Hell - 2002 Remaster,Gary Moore,blues,2006,0.36200000000000004,0.9359999999999999,8,-5.4460000000000015,0,0.107,0.0286,5.7799999999999995e-05,0.313,0.782,201.168,4,266320,https://i.scdn.co/image/ab67616d0000b2734baf224ced02d3ef9c90547e
300RfAPZ57B0y6YYj9n6DN,Superstition - Single Version,Stevie Wonder,blues,2007-01-01,0.642,0.735,8,-8.866,1,0.0806,0.0172,0.000733,0.0391,0.8640000000000001,99.682,4,244827,https://i.scdn.co/image/ab67616d0000b2735b85dc9d7ce5d7955ec8a75e
7wVwKqDtZ5EZHghJ82XGw9,Speedway - 2014 Remaster,Morrissey,indie,1994,0.23199999999999998,0.882,4,-7.525,1,0.0556,0.0011,0.00905,0.255,0.528,111.166,4,267467,https://i.scdn.co/image/ab67616d0000b273905f0a05f0edebe36df5e3d5
17Nowmq4iF2rkbd1rAe1Vt,King of Carrot Flowers Pt. 1,Neutral Milk Hotel,indie,1998-02-20,0.40700000000000003,0.519,5,-6.47,1,0.0336,0.11,0.889,0.409,0.342,94.001,4,120427,https://i.scdn.co/image/ab67616d0000b273c984eaf4d6a23e0bc64041d6
0MtVmhAx6CxNuxFIUc6Mj9,Elephant Gun,Beirut,indie,2007-06-25,0.171,0.626,8,-8.677,1,0.0486,0.873,0.0252,0.0681,0.457,180.09799999999996,3,348893,https://i.scdn.co/image/ab67616d0000b273661c404c96cc197faf8ec9d7
5bmlHGoCE6rBsGVHx7RDLi,Mistaken For Strangers,The National,indie,2007-05-21,0.535,0.927,5,-5.306,1,0.031,0.0497,0.857,0.319,0.754,133.01,4,210960,https://i.scdn.co/image/ab67616d0000b273026f3ccb0e906a5032330752
7uCWAhAVOR487BVKlRf9kp,Let My Baby Stay,Amandla Stenberg,indie,2017-05-11,0.542,0.35700000000000004,10,-6.938,0,0.0365,0.33399999999999996,0.258,0.0724,0.19699999999999998,102.251,4,144933,https://i.scdn.co/image/ab67616d0000b273808d9f2509ed563be8e7bc5d
6vzRrGER6V3z1oQbUSUlFW,Autumn Love,Death Cab for Cutie,indie,2018-08-17,0.573,0.828,2,-5.317,1,0.0269,0.0011300000000000001,0.155,0.138,0.733,122.62700000000001,4,258933,https://i.scdn.co/image/ab67616d0000b27397bf91e5ecee3470d063614f
7xj3v3gPWWytfwqHZRtdMj,Mykonos,Fleet Foxes,indie,2009-05-05,0.298,0.44799999999999995,8,-9.291,0,0.0303,0.397,0.0010400000000000001,0.128,0.33,82.96700000000001,4,275307,https://i.scdn.co/image/ab67616d0000b273ed15932ec1b0b870ee80fda1
7l9joJ1CFiSZukme7ek79a,Split Stones,Maggie Rogers,indie,2017-09-20,0.711,0.684,7,-7.456,1,0.0537,0.136,0.0,0.10800000000000001,0.27399999999999997,135.555,4,231131,https://i.scdn.co/image/ab67616d0000b273e0de17d96362342e7c7888d0
3DkHNCA4QRBQgTzF2T18hm,Only In Dreams,Weezer,indie,1994-05-10,0.507,0.535,1,-9.051,1,0.0261,0.00215,0.495,0.111,0.40299999999999997,78.04899999999998,4,479067,https://i.scdn.co/image/ab67616d0000b273345536847e60f622ee0eae96
1LIbTjMdFP15jIXGkcICSU,Chateau,Angus & Julia Stone,indie,2017-09-15,0.6609999999999999,0.589,5,-11.217,1,0.0368,0.637,0.863,0.111,0.603,129.987,4,273533,https://i.scdn.co/image/ab67616d0000b2736567f18f9a164a51e933cdad
5GZEeowhvSieFDiR8fQ2im,9 Crimes,Damien Rice,indie,2006-11-06,0.34600000000000003,0.139,0,-15.325999999999999,1,0.0321,0.9129999999999999,7.730000000000001e-05,0.0934,0.11599999999999999,136.168,4,217947,https://i.scdn.co/image/ab67616d0000b273822529ba4d82fad5467fb378
1F4SgkTGnamV8KBgCwlHq2,All Is Well,Austin Basham,indie,2018-07-27,0.34,0.419,11,-12.244000000000002,1,0.0337,0.8590000000000001,0.0021100000000000003,0.141,0.263,99.93799999999999,4,256693,https://i.scdn.co/image/ab67616d0000b273fc475af791d9478e58c585fc
2C0Y5RUvreuiElhHuce9Rv,The Truth,Handsome Boy Modeling School,indie,1999-10-19,0.7,0.39299999999999996,2,-10.88,1,0.0471,0.6,6.08e-06,0.113,0.47700000000000004,79.638,4,337200,https://i.scdn.co/image/ab67616d0000b273fd6bbd0f70e39914c3a94dac
51NHmSOPGDM5zGVooMEDRm,Cohesion,Minutemen,indie,1984-07-24,0.387,0.196,7,-22.884,1,0.0414,0.9309999999999999,0.8740000000000001,0.11,0.3720000000000001,95.946,4,116933,https://i.scdn.co/image/ab67616d0000b2732355a03528a6707c35365b1e
2pYvd6cHcAIMAM6xMD6nok,Break Apart,Bonobo,indie,2017-01-13,0.648,0.45799999999999996,5,-15.169,1,0.0311,0.8640000000000001,0.0944,0.366,0.0848,119.96,4,274693,https://i.scdn.co/image/ab67616d0000b27355fa09a768d1ef5ea5d279f9
2as9DMML3RYe4uGiBpTvEm,Hollywood Forever Cemetery Sings,Father John Misty,indie,2012-04-30,0.5770000000000001,0.8290000000000001,9,-3.45,1,0.0286,0.0533,0.141,0.0397,0.612,94.036,4,190613,https://i.scdn.co/image/ab67616d0000b273f8445f566ccdb3efff4694b2
3FRXQfVBPe9UGyS12p3bx7,Different Now,Chastity Belt,indie,2017-06-02,0.648,0.6809999999999999,5,-7.47,1,0.0295,0.10300000000000001,0.0010199999999999999,0.10300000000000001,0.364,124.795,4,228800,https://i.scdn.co/image/ab67616d0000b273dbb3d841928d69a69237e726
4eLSCSELtKxZwXnFbNLXT5,On Top Of The World,Imagine Dragons,folk,2012-09-04,0.507,0.9229999999999999,0,-5.581,1,0.17300000000000001,0.0818,4.63e-06,0.0951,0.768,99.25200000000001,4,189840,https://i.scdn.co/image/ab67616d0000b273dee648abe19dd6e10902c4ae
0h14S2lgy1eZDwWdxdFZU2,Through My Prayers,The Avett Brothers,folk,2012-01-01,0.38299999999999995,0.133,3,-14.795,1,0.0343,0.9059999999999999,0.0138,0.106,0.163,141.333,3,250787,https://i.scdn.co/image/ab67616d0000b273257e4eed50e4d823f8a0dac9
3uBoqnfB7e9hPCInSznzwC,Home,The Falls,folk,2012-05-01,0.667,0.58,10,-6.976,0,0.0255,0.723,0.00275,0.107,0.436,110.945,4,212987,https://i.scdn.co/image/ab67616d0000b273e945df81223097c9f4180cdc
